Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-28 00:00:00-04:00,634.5431597600679,639.4761690191607,628.0188082371543,633.8966674804688,805900,0.0,0.0
2025-03-31 00:00:00-04:00,626.6561568934901,637.2382929079275,615.1490210879268,630.7835693359375,1066300,0.0,0.0
2025-04-01 00:00:00-04:00,627.0838754271041,637.7555501529376,611.6581456510522,613.6472778320312,1059700,0.0,0.0
2025-04-02 00:00:00-04:00,610.196201466392,624.58754457391,606.7847861398458,622.2005615234375,902600,0.0,0.0
2025-04-03 00:00:00-04:00,622.8470001327372,624.5874907518706,604.5768263184566,607.3218383789062,1047500,0.0,0.0
2025-04-04 00:00:00-04:00,607.3317931780024,609.6590437811433,568.8917904017975,570.3339233398438,1547700,0.0,0.0
2025-04-07 00:00:00-04:00,566.1070995412329,588.3256747049091,554.7988865764589,569.6676635742188,1687400,0.0,0.0
2025-04-08 00:00:00-04:00,576.3112463348431,582.8455523540222,543.391074734581,553.7843017578125,1159700,0.0,0.0
2025-04-09 00:00:00-04:00,535.0765511198034,577.5743402994229,523.1318027846626,573.5861206054688,1871500,0.0,0.0
2025-04-10 00:00:00-04:00,565.8383928682168,568.8817622159848,526.8513958858283,543.4208984375,1357800,0.0,0.0
2025-04-11 00:00:00-04:00,545.6487499371934,552.5112796248899,530.3622753594395,551.1685791015625,1170900,0.0,0.0
2025-04-14 00:00:00-04:00,557.3946221554729,571.5969943611668,552.37207553944,567.9569091796875,946300,0.0,0.0
2025-04-15 00:00:00-04:00,565.460555012252,572.0744439872882,549.9950639971547,554.8783569335938,838500,0.0,0.0
2025-04-16 00:00:00-04:00,553.973247228372,558.7770178772575,541.5411725598717,546.2952270507812,875700,0.0,0.0
2025-04-17 00:00:00-04:00,545.0917653139787,561.144074251413,542.0384405753102,560.0997314453125,827700,0.0,0.0
2025-04-21 00:00:00-04:00,553.0185064808202,567.2507447915852,549.9651813020304,558.4389038085938,745600,0.0,0.0
2025-04-22 00:00:00-04:00,562.4271058896232,583.9097084644868,562.0690766775242,582.3084716796875,1036800,0.0,0.0
2025-04-23 00:00:00-04:00,592.6320170827379,600.4891124925981,581.2740907522381,584.6555786132812,791900,0.0,0.0
2025-04-24 00:00:00-04:00,587.7188807260035,598.0126752766548,583.6212736509153,596.5009155273438,1317000,0.0,0.0
2025-04-25 00:00:00-04:00,595.0787787866883,599.5145049450256,582.5969858023556,599.3653564453125,964400,0.0,0.0
2025-04-28 00:00:00-04:00,600.0813431801568,611.4890470699272,597.9231518996299,607.5405883789062,1175200,0.0,0.0
2025-04-29 00:00:00-04:00,558.6975365681507,576.8284581161278,539.492466577722,565.818603515625,2660300,0.0,0.0
2025-04-30 00:00:00-04:00,576.1123697107002,596.9385863058137,563.90902421926,595.5064086914062,1679400,0.0,0.0
2025-05-01 00:00:00-04:00,586.5652145555464,590.7025824434677,575.3564362089513,586.7939453125,1190500,0.0,0.0
2025-05-02 00:00:00-04:00,596.7395911881039,612.26475165001,595.8246074785927,602.319091796875,1606400,0.0,0.0
2025-05-05 00:00:00-04:00,603.592243341963,607.7196562919224,598.5298751134414,600.3002319335938,1124300,0.0,0.0
2025-05-06 00:00:00-04:00,597.7440822103265,603.5722240196478,554.6097624726249,555.4849853515625,1510900,0.0,0.0
2025-05-07 00:00:00-04:00,558.7372702892955,565.0428461046993,553.336783623424,557.8819580078125,1140500,0.0,0.0
2025-05-08 00:00:00-04:00,544.9027893910373,549.5673060549,517.6715692311121,544.6939086914062,2709200,0.0,0.0
2025-05-09 00:00:00-04:00,546.0167722351924,549.8359326521678,524.2656171483325,524.912109375,1499000,0.0,0.0
2025-05-12 00:00:00-04:00,540.864930745276,574.8492365658792,532.3812529791527,572.5020751953125,1898300,0.0,0.0
2025-05-13 00:00:00-04:00,568.344743063942,571.9251563209547,555.4153852863549,571.0399780273438,1149900,0.0,0.0
2025-05-14 00:00:00-04:00,573.2181855145628,577.405330926843,564.5058368910117,568.2553100585938,1664500,0.0,0.0
2025-05-15 00:00:00-04:00,572.9993771067816,582.0797705362082,561.8403138004691,581.8112182617188,1301800,0.0,0.0
2025-05-16 00:00:00-04:00,585.0335810493026,591.9557827629932,578.3302154372481,591.0905151367188,936900,0.0,0.0
2025-05-19 00:00:00-04:00,585.2822010620645,595.3074436954463,583.4919943391196,593.2984008789062,666300,0.0,0.0
2025-05-20 00:00:00-04:00,592.6510509055614,613.0100175256075,592.6510509055614,612.3526000976562,1102100,0.88,0.0
2025-05-21 00:00:00-04:00,610.6194712623785,615.0717809775809,595.5494512547114,602.222900390625,1089300,0.0,0.0
2025-05-22 00:00:00-04:00,600.8085648732349,603.0994341324438,590.3800426325972,594.4837036132812,867200,0.0,0.0
2025-05-23 00:00:00-04:00,584.5233634781673,589.2944120604029,580.0611442384107,586.0075073242188,656300,0.0,0.0
2025-05-27 00:00:00-04:00,600.6990381658486,605.7588544123323,588.4577237432612,600.8683471679688,876100,0.0,0.0
2025-05-28 00:00:00-04:00,600.868338245286,603.5974655739429,587.810328456648,589.5035400390625,1008300,0.0,0.0
2025-05-29 00:00:00-04:00,594.6928764970853,603.3284861462067,588.6768447385555,602.9898681640625,756700,0.0,0.0
2025-05-30 00:00:00-04:00,515.607634618425,517.7192854986891,483.0771467047856,488.3362121582031,6313100,0.0,0.0
2025-06-02 00:00:00-04:00,489.14302444032063,500.5675517759755,479.67071799159754,488.8641357421875,2944300,0.0,0.0
2025-06-03 00:00:00-04:00,488.84421856764595,499.12328071203495,483.4158135224229,485.9258117675781,2141600,0.0,0.0
2025-06-04 00:00:00-04:00,489.760565183939,497.9180976609406,481.07513515308233,483.0074462890625,1870700,0.0,0.0
2025-06-05 00:00:00-04:00,484.07319202604697,489.82030519436665,474.6008858872713,481.1548156738281,1791100,0.0,0.0
2025-06-06 00:00:00-04:00,483.6150126866226,497.89815596797274,483.077145086204,491.2645568847656,1497900,0.0,0.0
2025-06-09 00:00:00-04:00,496.0255838255885,516.215238990537,492.45979079427156,515.5478515625,1983100,0.0,0.0
