ticker,sector,return_20d,momentum,price
2330.TW,半導體,-7.547444173704476,-3.1332597265721462,1820.0
2377.TW,半導體,-8.316427053895325,-4.1357384938135455,90.4000015258789
2342.TW,半導體,-8.536583238382644,-4.153352296319845,30.0
2303.TW,半導體,-10.387598082076677,-4.620460903569612,57.79999923706055
2454.TW,半導體,-16.578947368421048,-11.204481792717091,1585.0
1301.TW,塑膠,-7.495067415932388,1.4054087046030395,46.900001525878906
1326.TW,塑膠,-8.19502220003402,3.751461704286818,44.25
1303.TW,塑膠,-17.09497547682437,-4.258068453881048,74.19999694824219
2204.TW,汽車,-7.035177067446085,-3.4782608695652195,55.5
2207.TW,汽車,-13.478260869565217,0.5050505050504972,497.5
2002.TW,鋼鐵,-3.2098746594087624,1.2919896386121454,19.600000381469727
1231.TW,食品,7.459200080242034,4.772723804820678,92.1999969482422
1216.TW,食品,-2.1739110153428554,2.7104159304373265,72.0
