Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-28 00:00:00-04:00,196.1499090778977,199.33313253052992,195.04691109367772,198.62681579589844,6478100,0.0,0.0
2025-03-31 00:00:00-04:00,197.79474006819547,203.96766699986688,197.79474006819547,202.71954345703125,11093700,0.0,0.0
2025-04-01 00:00:00-04:00,203.6870681740225,205.26415254098706,198.92676044974073,199.57501220703125,7853200,0.0,0.0
2025-04-02 00:00:00-04:00,200.49417002587612,200.49417002587612,193.83747250330293,198.53005981445312,9262800,0.0,0.0
2025-04-03 00:00:00-04:00,203.4741977628859,203.85153876043785,194.70826477088843,195.09527587890625,7593100,0.0,0.0
2025-04-04 00:00:00-04:00,193.5085346298842,193.5085346298842,180.12741768860417,180.89178466796875,13505200,0.0,0.0
2025-04-07 00:00:00-04:00,175.1542322310275,182.09151076413164,170.5584049719681,180.4950714111328,12581100,0.0,0.0
2025-04-08 00:00:00-04:00,181.51100746030204,182.27535965959632,166.72695691559161,169.9682159423828,12517100,0.0,0.0
2025-04-09 00:00:00-04:00,162.83743283770326,174.7382105235373,159.05433748904719,174.00286865234375,18977800,0.0,0.0
2025-04-10 00:00:00-04:00,171.9806927919564,172.22257843582693,159.61549985837647,168.54591369628906,13970000,0.0,0.0
2025-04-11 00:00:00-04:00,168.16858894348988,171.22602732089993,163.8340019199838,169.36834716796875,9047700,0.0,0.0
2025-04-14 00:00:00-04:00,171.68077139829145,174.34151370470124,170.48101318889434,173.28689575195312,7164400,0.0,0.0
2025-04-15 00:00:00-04:00,173.52124010209215,176.25539885377842,172.1639276542861,172.6424102783203,8078500,1.64,0.0
2025-04-16 00:00:00-04:00,172.37873014647104,172.6912121980648,165.75816940296252,167.6427764892578,9459300,0.0,0.0
2025-04-17 00:00:00-04:00,168.51187551871269,171.08001867991857,167.8673924090706,168.9219970703125,8998100,0.0,0.0
2025-04-21 00:00:00-04:00,169.3906988206616,170.07423471390356,164.5766244368966,166.15853881835938,7364600,0.0,0.0
2025-04-22 00:00:00-04:00,167.05690106997747,170.55271592454736,166.89090056151582,169.6934051513672,6191900,0.0,0.0
2025-04-23 00:00:00-04:00,170.8847098317879,173.9606286487744,170.29881343809322,172.88650512695312,7119700,0.0,0.0
2025-04-24 00:00:00-04:00,173.43334246208335,177.22210555697043,171.9686163047773,176.12843322753906,8789400,0.0,0.0
2025-04-25 00:00:00-04:00,182.71970212154397,184.26254880525087,175.75738054059605,181.68463134765625,10482100,0.0,0.0
2025-04-28 00:00:00-04:00,183.57901798258717,188.5786120022091,183.22748309683467,187.81695556640625,10408000,0.0,0.0
2025-04-29 00:00:00-04:00,188.06106332415283,190.9416883484978,186.09833570891323,188.9594268798828,6671400,0.0,0.0
2025-04-30 00:00:00-04:00,189.91641375564893,191.17607179334598,186.51823807727493,190.51206970214844,8400700,0.0,0.0
2025-05-01 00:00:00-04:00,188.3442674079474,191.21513318970983,185.3366944413375,188.79344177246094,5823600,0.0,0.0
2025-05-02 00:00:00-04:00,190.58040999018698,194.30081222203955,190.05311510455576,193.8028106689453,6424800,0.0,0.0
2025-05-05 00:00:00-04:00,193.80281508940953,193.83210842261465,190.44370714887194,191.45925903320312,5121500,0.0,0.0
2025-05-06 00:00:00-04:00,190.9026570350806,191.21513912441077,181.3721768100025,182.74900817871094,9392000,0.0,0.0
2025-05-07 00:00:00-04:00,183.7450211549475,185.70774893713252,182.35841544664225,183.66690063476562,5771700,0.0,0.0
2025-05-08 00:00:00-04:00,179.80002811168308,182.27053177527455,177.3685772574126,181.21592712402344,8816700,0.0,0.0
