Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-28 00:00:00-04:00,164.8559094651921,165.17709703406328,163.1429090978791,163.54196166992188,5479100,0.0,0.0
2025-03-31 00:00:00-04:00,163.61010773887554,166.56890375916458,163.61010773887554,165.86813354492188,11520100,0.0,0.0
2025-04-01 00:00:00-04:00,166.01413693923408,166.48131213428726,164.54445905188103,166.00439453125,7021100,0.0,0.0
2025-04-02 00:00:00-04:00,165.52748461309986,166.31584736163066,163.8144842200146,164.9727020263672,6274500,0.0,0.0
2025-04-03 00:00:00-04:00,169.5763731365697,170.13115576339968,166.1698569193155,167.7855224609375,9393300,0.0,0.0
2025-04-04 00:00:00-04:00,167.18208986940928,168.96321301647097,159.10377688343345,159.3762969970703,13454200,0.0,0.0
2025-04-07 00:00:00-04:00,159.2886800226295,160.30089531087128,154.9380715769926,155.95028686523438,15708000,0.0,0.0
2025-04-08 00:00:00-04:00,157.97475064653926,158.91884345211088,152.52433372444412,154.15945434570312,11541100,0.0,0.0
2025-04-09 00:00:00-04:00,153.1569555971683,160.2814325632855,152.50485290643795,157.98448181152344,10670200,0.0,0.0
2025-04-10 00:00:00-04:00,158.54898530576128,160.66103834417817,156.4564170830897,159.1913604736328,10581600,0.0,0.0
2025-04-11 00:00:00-04:00,159.00643302756598,163.5322418751159,158.27646529582228,162.45188903808594,8602800,0.0,0.0
2025-04-14 00:00:00-04:00,162.57842164332376,165.56643029553894,161.35208108756387,164.61260986328125,9877300,0.0,0.0
2025-04-15 00:00:00-04:00,164.62231754993425,165.61507779499328,163.78528731414545,163.97021484375,8765000,0.0,0.0
2025-04-16 00:00:00-04:00,164.76830615554547,165.1478887734351,161.36179015096573,161.94577026367188,5897500,0.0,0.0
2025-04-17 00:00:00-04:00,163.05533420120216,167.06528576590873,162.88014906351262,166.07254028320312,7227100,0.0,0.0
2025-04-21 00:00:00-04:00,166.38298338341917,166.44174242062215,160.88878924788156,162.3284454345703,8062400,1.057,0.0
2025-04-22 00:00:00-04:00,162.4361840391489,165.28611704694788,161.14342537605484,164.41448974609375,7907400,0.0,0.0
2025-04-23 00:00:00-04:00,162.96502063398037,163.17069220678061,159.74294224800502,162.30885314941406,9309200,0.0,0.0
2025-04-24 00:00:00-04:00,157.18682456687057,157.63733543685328,153.34774628347827,156.23684692382812,20077700,0.0,0.0
2025-04-25 00:00:00-04:00,156.57963930834853,158.4600034038244,154.51319494745798,157.69610595703125,12892800,0.0,0.0
2025-04-28 00:00:00-04:00,157.7156650838813,159.20429210049804,157.07908892914716,158.5089569091797,8127000,0.0,0.0
2025-04-29 00:00:00-04:00,157.96051427550546,159.0378131598155,155.91366133912115,158.91049194335938,8266200,0.0,0.0
2025-04-30 00:00:00-04:00,159.09656305174838,159.7919131905109,156.64817022256233,159.21409606933594,12475500,0.0,0.0
2025-05-01 00:00:00-04:00,157.34353721999278,158.01929610426134,155.7667714713013,156.6775665283203,6792800,0.0,0.0
2025-05-02 00:00:00-04:00,157.6079306927535,158.46976972147343,156.59919407677606,157.20640563964844,5750200,0.0,0.0
2025-05-05 00:00:00-04:00,157.5687888710223,157.58838020047642,154.75803831849245,155.5513153076172,7576200,0.0,0.0
2025-05-06 00:00:00-04:00,154.77760246015202,156.41314210455712,154.3956537569436,155.96263122558594,7703800,0.0,0.0
2025-05-07 00:00:00-04:00,155.73738485481104,156.74612156705825,155.26728264311546,156.00180053710938,6430000,0.0,0.0
2025-05-08 00:00:00-04:00,155.1105995718503,156.69715346870328,154.74822724266645,155.37501525878906,7230800,0.0,0.0
2025-05-09 00:00:00-04:00,154.75802572542426,155.84511279267832,154.1606172480359,154.40545654296875,6453200,0.0,0.0
2025-05-12 00:00:00-04:00,154.18019682532656,157.725480051168,153.45548206135066,157.5785675048828,7378400,0.0,0.0
2025-05-13 00:00:00-04:00,156.71674833753823,157.40229541069,154.1116545157562,155.453369140625,7780800,0.0,0.0
2025-05-14 00:00:00-04:00,154.85593760654442,155.87447734418694,154.31730316446004,154.7580108642578,5988900,0.0,0.0
2025-05-15 00:00:00-04:00,156.29560913733053,159.54708215560498,155.42398184283243,159.05740356445312,8727300,0.0,0.0
2025-05-16 00:00:00-04:00,159.29243928175887,160.05633668632976,158.50896549313566,159.90943908691406,7100800,0.0,0.0
2025-05-19 00:00:00-04:00,160.09551556911285,161.7408284190125,160.03675653073134,161.36868286132812,8119900,0.0,0.0
2025-05-20 00:00:00-04:00,161.21198171071705,162.57328755696597,161.20219351894698,162.22071838378906,5576600,0.0,0.0
